roll,pitch,yaw,longi,lati,chargeRC,chargeTele,temp,velocity,result
8.97,-35.63,124.15,0.0,0.0,0.02,7.44,22,0,1
121.06,13.9,95.68,0.0,0.0,0.09,7.72,22,0,1
77.44,17.35,157.13,0.0,0.0,0.09,7.67,22,0,1
0.36,-3.33,216.9,0.0,0.0,0.75,8.45,21,0,0
3.18,-2.68,219.79,0.0,0.0,0.44,8.19,21,0,1
134.77,16.14,220.97,0.0,0.0,0.11,7.3,22,0,1
141.85,-8.27,183.92,0.0,0.0,0.07,7.7,22,0,1
4.42,-1.19,215.85,0.0,0.0,0.75,8.48,21,0,0
7.94,-34.04,152.69,0.0,0.0,0.04,7.53,22,0,1
58.2,32.53,329.28,0.0,0.0,0.07,7.6,22,0,1
3.16,-4.83,222.78,0.0,0.0,1.67,9.23,21,0,0
-7.09,5.46,340.75,0.0,0.0,0.04,7.6,22,0,1
49.17,21.86,112.72,0.0,0.0,0.7,8.38,22,0,1
-79.43,9.84,63.04,0.0,0.0,0.28,7.7,22,0,1
42.7,0.57,189.6,0.0,0.0,1.38,8.95,21,0,0
-86.68,-16.7,183.37,0.0,0.0,0.72,8.43,21,0,0
-0.86,3.69,343.46,0.0,0.0,0.07,7.53,22,0,1
-28.83,13.78,291.19,0.0,0.0,0.11,7.49,22,0,1
-1.65,-26.76,154.17,0.0,0.0,0.07,7.58,22,0,1
-9.81,5.41,312.21,0.0,0.0,0.04,7.42,22,0,1
9.25,-34.62,141.19,0.0,0.0,0.04,7.56,22,0,1
3.34,-3.03,220.56,0.0,0.0,1.01,8.69,21,0,0
4.05,-3.37,220.34,0.0,0.0,0.91,8.62,21,0,0
3.45,-3.39,219.88,0.0,0.0,0.44,8.24,21,0,1
67.24,-49.04,112.55,0.0,0.0,0.04,7.46,22,0,1
-131.79,30.35,66.65,0.0,0.0,0.44,8.12,21,0,1
-3.26,-27.36,156.94,0.0,0.0,0.04,7.53,22,0,1
97.67,-3.11,192.23,0.0,0.0,0.04,6.94,22,0,1
3.08,3.89,292.14,0.0,0.0,0.32,7.82,22,0,1
163.88,22.4,174.01,0.0,0.0,0.09,7.7,22,0,1
-146.77,-61.5,61.09,0.0,0.0,0.58,8.07,21,0,1
-36.37,14.56,333.69,0.0,0.0,0.02,7.51,22,0,1
3.97,-3.71,220.51,0.0,0.0,0.98,8.66,21,0,0
-18.34,-6.82,185.2,0.0,0.0,0.07,7.6,22,0,1
102.64,42.82,252.01,0.0,0.0,0.16,7.84,22,0,1
-0.17,3.69,342.87,0.0,0.0,0.07,7.6,22,0,1
3.9,-2.74,219.09,0.0,0.0,0.47,8.22,21,0,1
139.2,-58.3,349.81,0.0,0.0,0.16,7.58,22,0,1
-6.06,-24.33,163.4,0.0,0.0,0.07,7.51,22,0,1
96.19,-9.26,142.14,0.0,0.0,0.07,7.63,22,0,1
-129.07,-58.01,143.8,0.0,0.0,0.3,7.86,22,0,1
3.43,-2.83,220.01,0.0,0.0,0.44,8.22,21,0,1
3.6,-3.47,219.75,0.0,0.0,0.44,8.19,21,0,1
158.96,-35.37,276.73,0.0,0.0,0.65,8.07,22,0,1
136.01,5.23,92.2,0.0,0.0,0.49,7.91,22,0,1
-11.09,16.08,68.42,0.0,0.0,0.07,7.58,22,0,1
127.98,15.89,162.28,0.0,0.0,0.58,8.24,22,0,1
-10.67,38.21,96.75,0.0,0.0,0.14,7.74,22,0,1
85.57,-78.53,88.52,0.0,0.0,0.37,7.91,21,0,1
23.09,28.87,59.01,0.0,0.0,0.04,7.49,22,0,1
6.17,-4.28,226.29,0.0,0.0,1.05,8.71,21,0,0
3.93,4.59,290.8,0.0,0.0,0.32,7.91,21,0,1
5.37,-6.79,226.4,0.0,0.0,0.84,8.57,21,0,0
129.76,-40.48,140.13,0.0,0.0,0.02,6.99,22,0,1
9.64,-34.65,135.75,0.0,0.0,0.04,7.51,22,0,1
92.33,-17.65,335.23,0.0,0.0,0.49,7.96,22,0,1
13.92,16.2,269.87,0.0,0.0,0.07,7.53,22,0,1
9.88,-35.49,128.6,0.0,0.0,0.02,7.42,22,0,1
3.27,-3.65,216.79,0.0,0.0,0.75,8.5,21,0,0
-30.61,24.82,358.84,0.0,0.0,0.02,6.85,22,0,1
3.6,-3.47,220.06,0.0,0.0,0.44,8.24,21,0,1
8.26,6.87,128.12,0.0,0.0,1.46,8.99,21,0,0
3.6,-4.36,228.64,0.0,0.0,1.1,8.76,21,0,0
60.6,56.98,23.55,0.0,0.0,0.04,6.9,22,0,1
86.18,-7.9,204.6,0.0,0.0,0.02,7.42,22,0,1
-177.79,59.05,12.99,0.0,0.0,0.14,7.67,22,0,1
5.27,-47.48,162.88,0.0,0.0,0.04,7.42,22,0,1
168.01,35.23,318.62,0.0,0.0,0.47,8.05,22,0,1
9.73,-4.05,221.26,0.0,0.0,1.24,8.85,21,0,0
64.81,-20.47,358.85,0.0,0.0,0.09,7.7,22,0,1
-19.3,-3.33,291.21,0.0,0.0,0.37,7.98,21,0,1
3.07,-3.11,219.74,0.0,0.0,0.44,8.24,21,0,1
-93.36,-7.15,58.77,0.0,0.0,0.04,6.78,22,0,1
6.51,-4.96,226.78,0.0,0.0,1.57,9.11,21,0,0
-24.27,13.1,160.33,0.0,0.0,0.02,7.27,22,0,1
-6.64,-1.7,190.94,0.0,0.0,1.03,8.69,21,0,0
148.02,-8.14,195.45,0.0,0.0,0.42,8.15,21,0,1
93.94,-9.78,5.94,0.0,0.0,0.07,7.72,22,0,1
-60.92,13.91,325.13,0.0,0.0,0.11,7.32,22,0,1
4.41,-2.74,192.33,0.0,0.0,1.17,8.76,21,0,0
-99.6,13.41,145.65,0.0,0.0,0.11,7.58,22,0,1
12.56,16.29,190.4,0.0,0.0,0.49,8.29,21,0,1
4.05,-3.28,220.92,0.0,0.0,0.82,8.5,21,0,0
103.06,60.76,77.96,0.0,0.0,0.04,7.46,22,0,1
138.68,-28.96,254.52,0.0,0.0,0.21,7.63,22,0,1
4.93,-7.25,226.53,0.0,0.0,1.22,8.85,21,0,0
9.93,-35.21,113.28,0.0,0.0,0.04,7.44,22,0,1
4.38,-4.53,228.75,0.0,0.0,1.17,8.85,21,0,0
3.02,-2.94,219.99,0.0,0.0,0.44,8.22,21,0,1
17.85,-11.53,268.61,0.0,0.0,0.07,7.51,22,0,1
7.76,-5.1,221.66,0.0,0.0,1.2,8.81,21,0,0
5.15,-7.27,226.25,0.0,0.0,0.84,8.52,21,0,0
10.57,-35.01,121.01,0.0,0.0,0.04,7.42,22,0,1
-115.84,52.68,322.27,0.0,0.0,0.04,7.3,22,0,1
9.7,-35.71,156.56,0.0,0.0,0.04,7.46,22,0,1
